Year,Competition,Discipline,Round,Role,JudgeGender,JudgeName,JudgeNation
2019,2019ec,Ice Dance,SP,TechnicalController,Mr.,ShawnRETTSTATTISU,ISU
2019,2019ec,Ice Dance,SP,TechnicalSpecialist,Mr.,SergeiBARANOVISU,ISU
2019,2019ec,Ice Dance,SP,AssistantTechnicalSpecialist,Mr.,AndrzejDOSTATNIISU,ISU
2019,2019ec,Ice Dance,SP,Referee,Ms.,RossellaCECCATTINIISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.1,Mr.,AttilaSOOSISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.2,Mr.,AllanBOEHMISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.3,Ms.,MairaABASOVAISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.4,Ms.,MalgorzataGRAJCARISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.5,Ms.,TatianaYORDANOVAISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.6,Ms.,PriscaBINZ-MOSERISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.7,Mr.,ChristopherBUCHANANISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.8,Ms.,JezabelDABOUISISU,ISU
2019,2019ec,Ice Dance,SP,JudgeNo.9,Mr.,DavidMUNOZISU,ISU
2019,2019ec,Ice Dance,SP,DataOperator,Ms.,AnneFAGERSTRÖMISU,ISU
2019,2019ec,Ice Dance,SP,ReplayOperator,Mr.,AlexanderKUZNETSOVISU,ISU
2019,2019ec,Ice Dance,FS,TechnicalController,Mr.,ShawnRETTSTATTISU,ISU
2019,2019ec,Ice Dance,FS,TechnicalSpecialist,Mr.,SergeiBARANOVISU,ISU
2019,2019ec,Ice Dance,FS,AssistantTechnicalSpecialist,Mr.,AndrzejDOSTATNIISU,ISU
2019,2019ec,Ice Dance,FS,Referee,Ms.,RossellaCECCATTINIISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.1,Mr.,AttilaSOOSISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.2,Ms.,MalgorzataGRAJCARISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.3,Ms.,JezabelDABOUISISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.4,Ms.,PriscaBINZ-MOSERISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.5,Mr.,ChristopherBUCHANANISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.6,Mr.,AlexeiBELETSKIISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.7,Ms.,MichelaCESAROISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.8,Mr.,AllanBOEHMISU,ISU
2019,2019ec,Ice Dance,FS,JudgeNo.9,Ms.,AnastassiyaMAKAROVAISU,ISU
2019,2019ec,Ice Dance,FS,DataOperator,Ms.,AnneFAGERSTRÖMISU,ISU
2019,2019ec,Ice Dance,FS,ReplayOperator,Mr.,AlexanderKUZNETSOVISU,ISU
2019,2019ec,Ladies,SP,TechnicalController,Ms.,RaffaellaLOCATELLIISU,ISU
2019,2019ec,Ladies,SP,TechnicalSpecialist,Mr.,SandorGALAMBOSISU,ISU
2019,2019ec,Ladies,SP,AssistantTechnicalSpecialist,Mr.,JamieMCGRIGORISU,ISU
2019,2019ec,Ladies,SP,Referee,Ms.,FlorenceVUYLSTEKERISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.1,Ms.,MonaADOLFSENISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.2,Ms.,LoneAMSTRUPLINNEMANNISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.3,Mr.,YuryKLIUSHNIKOVISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.4,Ms.,HermiOTTEMANNISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.5,Ms.,ZoiaYORDANOVAISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.6,Mr.,SviatoslavBABENKOISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.7,Ms.,LaimuteKRAUZIENEISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.8,Ms.,ZsuzsannaVIKARNE-HOMOLYAISU,ISU
2019,2019ec,Ladies,SP,JudgeNo.9,Ms.,LenkaBOHUNICKAISU,ISU
2019,2019ec,Ladies,SP,DataOperator,Mr.,AlexanderKUZNETSOVISU,ISU
2019,2019ec,Ladies,SP,ReplayOperator,Ms.,AnneFAGERSTRÖMISU,ISU
2019,2019ec,Ladies,FS,TechnicalController,Ms.,RaffaellaLOCATELLIISU,ISU
2019,2019ec,Ladies,FS,TechnicalSpecialist,Mr.,SandorGALAMBOSISU,ISU
2019,2019ec,Ladies,FS,AssistantTechnicalSpecialist,Mr.,JamieMCGRIGORISU,ISU
2019,2019ec,Ladies,FS,Referee,Ms.,FlorenceVUYLSTEKERISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.1,Ms.,PiaALHONENISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.2,Ms.,AgitaABELEISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.3,Mr.,YuryKLIUSHNIKOVISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.4,Ms.,KadiZVIRIKISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.5,Ms.,LoneAMSTRUPLINNEMANNISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.6,Ms.,LaimuteKRAUZIENEISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.7,Ms.,LenkaBOHUNICKAISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.8,Mr.,SviatoslavBABENKOISU,ISU
2019,2019ec,Ladies,FS,JudgeNo.9,Ms.,MartaOLOZAGARREISU,ISU
2019,2019ec,Ladies,FS,DataOperator,Mr.,AlexanderKUZNETSOVISU,ISU
2019,2019ec,Ladies,FS,ReplayOperator,Ms.,AnneFAGERSTRÖMISU,ISU
2019,2019ec,Men,SP,TechnicalController,Ms.,JuliaANDREEVAISU,ISU
2019,2019ec,Men,SP,TechnicalSpecialist,Mr.,JanCEJVANISU,ISU
2019,2019ec,Men,SP,AssistantTechnicalSpecialist,Ms.,JyrinaLORENZISU,ISU
2019,2019ec,Men,SP,Referee,Ms.,EkaterinaSEROVAISU,ISU
2019,2019ec,Men,SP,JudgeNo.1,Ms.,LiseRostoJENSENISU,ISU
2019,2019ec,Men,SP,JudgeNo.2,Ms.,AgnieszkaSWIDERSKAISU,ISU
2019,2019ec,Men,SP,JudgeNo.3,Ms.,NadezhdaFIODOROVAISU,ISU
